Time,Amb,Obj,Temp,Humid,CO2,Elapsed,LightTop,LightFront
2023-12-06 18:25:07,21.73,22.35,22.86,29.48,894.46,2199926.0,66.67,30.0
2023-12-06 18:25:09,21.69,21.99,22.91,29.51,859.87,2201926.0,76.67,43.33
2023-12-06 18:25:11,21.67,22.39,22.9,29.48,857.19,2203926.0,343.33,46.67
2023-12-06 18:25:13,21.63,22.01,22.94,29.44,833.32,2205926.0,636.67,50.0
2023-12-06 18:25:15,21.61,22.29,22.95,29.43,827.32,2207926.0,690.0,53.33
2023-12-06 18:25:17,21.59,22.27,22.98,29.38,833.43,2209926.0,473.33,63.33
2023-12-06 18:25:19,21.57,22.47,23.02,29.35,847.6,2211926.0,226.67,86.67
2023-12-06 18:25:21,21.55,22.55,23.01,29.32,860.13,2213926.0,163.33,103.33
2023-12-06 18:25:23,21.55,22.37,23.01,29.32,901.61,2215926.0,183.33,120.0
2023-12-06 18:25:25,21.53,22.35,23.02,29.31,964.33,2217926.0,200.0,93.33
2023-12-06 18:25:27,21.57,22.29,23.02,29.28,1057.12,2219926.0,226.67,93.33
2023-12-06 18:25:29,21.55,22.13,23.0,29.28,1046.54,2221926.0,236.67,26.67
2023-12-06 18:25:31,21.53,21.85,23.01,29.28,1018.84,2223926.0,243.33,6.67
2023-12-06 18:25:33,21.53,22.09,23.01,29.26,997.72,2225926.0,256.67,10.0
2023-12-06 18:25:35,21.53,22.01,23.04,29.31,984.0,2227926.0,383.33,20.0
2023-12-06 18:25:37,21.51,22.05,23.04,29.27,969.98,2229926.0,643.33,40.0
2023-12-06 18:25:39,21.51,22.19,23.05,29.27,957.43,2231926.0,853.33,40.0
2023-12-06 18:25:41,21.47,22.11,23.05,29.21,941.44,2233926.0,666.67,40.0
2023-12-06 18:25:43,21.45,21.97,23.09,29.23,924.26,2235926.0,396.67,43.33
2023-12-06 18:25:45,21.47,22.07,23.15,29.16,891.28,2237926.0,240.0,60.0
2023-12-06 18:25:47,21.45,22.25,23.14,29.17,909.7,2239926.0,256.67,80.0
2023-12-06 18:25:49,21.45,22.23,23.12,29.14,925.52,2241926.0,260.0,106.67
2023-12-06 18:25:51,21.45,22.15,23.07,29.12,928.74,2243926.0,263.33,106.67
2023-12-06 18:25:53,21.43,22.19,23.04,29.16,934.37,2245926.0,260.0,106.67
2023-12-06 18:25:55,21.49,22.17,23.02,29.15,930.46,2247926.0,260.0,106.67
2023-12-06 18:25:57,21.47,22.17,23.04,29.21,926.24,2249926.0,260.0,106.67
2023-12-06 18:25:59,21.45,22.03,23.05,29.21,923.71,2251926.0,260.0,106.67
2023-12-06 18:26:01,21.45,22.13,23.01,29.25,923.05,2253926.0,263.33,106.67
2023-12-06 18:26:03,21.47,22.19,23.05,29.22,920.15,2255926.0,260.0,106.67
2023-12-06 18:26:05,21.51,22.23,23.05,29.24,917.31,2257926.0,260.0,106.67
2023-12-06 18:26:07,21.47,22.21,23.05,29.22,914.81,2259926.0,260.0,106.67
2023-12-06 18:26:09,21.47,22.25,23.04,29.22,914.75,2261926.0,263.33,106.67
2023-12-06 18:26:11,21.51,22.17,23.01,29.25,913.06,2263926.0,260.0,106.67
2023-12-06 18:26:13,21.51,22.19,23.02,29.23,910.16,2265926.0,260.0,103.33
2023-12-06 18:26:15,21.53,22.27,23.02,29.28,907.12,2267926.0,260.0,106.67
2023-12-06 18:26:17,21.51,22.17,23.0,29.22,905.77,2269926.0,260.0,106.67
2023-12-06 18:26:19,21.51,22.15,23.0,29.28,905.48,2271926.0,263.33,106.67
2023-12-06 18:26:21,21.51,22.09,23.0,29.28,904.06,2273926.0,260.0,106.67
2023-12-06 18:26:23,21.53,22.17,22.97,29.31,903.61,2275926.0,260.0,106.67
2023-12-06 18:26:25,21.51,22.25,23.0,29.32,903.58,2277926.0,260.0,106.67
2023-12-06 18:26:27,21.55,22.21,22.98,29.29,903.16,2279926.0,263.33,103.33
2023-12-06 18:26:29,21.51,22.21,22.98,29.25,902.27,2281926.0,263.33,103.33
2023-12-06 18:26:31,21.55,22.21,23.0,29.32,901.78,2283926.0,260.0,103.33
2023-12-06 18:26:33,21.57,22.17,23.0,29.31,902.64,2285926.0,260.0,106.67
2023-12-06 18:26:35,21.53,22.17,22.97,29.34,902.82,2287926.0,260.0,103.33
2023-12-06 18:26:37,21.57,22.21,22.94,29.36,901.11,2289926.0,263.33,106.67
2023-12-06 18:26:39,21.57,22.15,22.97,29.32,901.12,2291926.0,260.0,106.67
2023-12-06 18:26:41,21.57,22.19,22.95,29.39,901.4,2293926.0,263.33,106.67
2023-12-06 18:26:43,21.57,22.19,22.98,29.29,900.88,2295926.0,260.0,106.67
2023-12-06 18:26:45,21.55,22.19,22.95,29.36,899.05,2297926.0,260.0,106.67
2023-12-06 18:26:47,21.53,22.27,22.94,29.38,898.54,2299926.0,260.0,106.67
2023-12-06 18:26:49,21.59,22.25,22.95,29.38,899.86,2301926.0,263.33,106.67
2023-12-06 18:26:51,21.57,22.25,22.95,29.31,898.66,2303926.0,260.0,103.33
2023-12-06 18:26:53,21.55,22.11,22.93,29.41,898.38,2305926.0,260.0,106.67
2023-12-06 18:26:55,21.61,22.27,22.94,29.32,898.89,2307926.0,260.0,106.67
2023-12-06 18:26:57,21.59,22.23,22.93,29.36,898.26,2309926.0,263.33,106.67
2023-12-06 18:26:59,21.59,22.35,22.91,29.43,897.11,2311926.0,263.33,103.33
2023-12-06 18:27:01,21.63,22.23,22.91,29.37,896.87,2313926.0,260.0,103.33
